"id","y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
27,33.45,45.56,-0.95,59.3,9.4,7.59,16.89,58,7.88,15.42,-2.06,"a4",17.76,"H",17.7,19.39,43.47,"B",50.72
28,69.95,45.7,-0.94,55.8,12.72,7.37,16.89,70,7.05,20.8,-4.97,"a1",16.62,"F",17.7,19.39,43.76,"B",51.16
29,44.86,45.9,-1,62.1,12.36,7.43,16.89,55,9.13,21.09,-0.7,"a5",30.07,"F",17.79,19.39,44.96,"C",51.86
30,69.47,45.97,-1,60.3,15.7,7.97,16.89,54,7.28,26.4,1.09,"a5",25.02,"J",17.79,19.39,45.22,"C",52
31,12.85,46.03,-0.51,62.6,9.6,9.08,16.89,61,8.93,17.1,3.78,"a4",20.23,"G",17.79,19.36,45.33,"B",52.09
32,51.87,46.09,-1,63,8.98,7.95,16.89,58,8.05,12.42,-1.79,"a4",25.51,"J",17.79,19.29,45.42,"C",52.16
33,143.37,46.2,-0.75,63.3,14.81,5.8,16.89,60,6.92,22.12,-4.43,"a2",16.17,"F",17.79,19.29,45.56,"B",52.5
34,25.44,46.2,-1,60.7,9.43,8.07,16.89,58,7.88,16.03,-0.63,"a4",17.91,"G",17.79,19.23,45.73,"B",52.9
35,88.3,46.29,-0.92,62.1,16.01,6.67,16.89,58,8.33,26.5,-2.1,"a4",28.11,"E",17.79,19.29,45.86,"C",53.5
36,36.52,46.43,-0.96,62.6,10.79,7.84,16.89,57,8.06,18.31,-2.07,"a3",26.56,"I",17.79,19.29,45.83,"C",53.96
37,14,46.63,0.49,62.7,6.38,9.9,16.89,61.2,9.43,9.53,5.6,"a2",29.58,"I",17.79,19.29,45.97,"C",54.46
38,41.98,46.83,-1,63.1,18.59,7.82,16.89,57,8.55,31.45,-0.79,"a3",29.37,"G",17.79,19.22,46,"C",54.72
39,20.74,47.53,-0.75,61.5,9.12,7.9,17,59,8.37,15.65,-2.16,"a3",27.24,"G",17.89,19.2,46.09,"C",54.86
40,11.38,47.66,0.3,58.2,15.16,9.63,17,61,9.29,26.71,6.93,"a3",31.26,"F",17.82,19.13,45.96,"C",54.79
41,356.51,47.83,-0.54,63.3,27.38,5.39,17,54,6.65,41.28,-2.04,"a2",17.27,"G",17.86,19.2,45.97,"B",54.9
42,14.38,48.03,-0.5,62,14.99,8.45,17,56,8.33,26.38,0.9,"a3",20.01,"H",17.89,19.2,46.2,"B",55.09
43,122.62,48.29,-0.78,61.8,29,6.79,17.07,55,7.51,45.31,0.41,"a5",19.6,"F",17.89,19.2,46.2,"B",54.86
44,55.04,48.77,-1,62,16.33,7.73,17.03,57,7.81,27.75,-1.38,"a3",26.78,"D",17.89,19.1,45.73,"C",54.5
45,39.29,48.9,-1,61.4,28.6,6.87,17.03,58,7.85,45.23,-1.46,"a3",28.21,"E",17.89,19.1,45.7,"C",54.5
46,350.26,49.05,-0.52,62,28.33,5.69,17.1,55,6.16,42.79,0.52,"a5",22.59,"D",17.89,19.1,45.7,"C",54.4
47,293.69,49.2,-0.6,61,19.09,5.28,17.1,62,6.99,26.13,-2.5,"a3",23.23,"D",17.89,19.1,45.59,"C",54.4
48,229.89,49.26,-0.71,61.3,36.59,6.46,17.1,56,7.13,54.63,0.76,"a5",26.4,"E",17.89,19.1,45.66,"C",54.29
49,462.96,49.29,-0.42,60.7,24.65,4.7,17.1,58,5.82,34.55,-0.04,"a3",14.61,"H",17.89,19.1,45.59,"B",54.23
50,64.12,49.36,-0.91,61.9,14.16,7.26,17.1,55,7.64,23.82,-0.76,"a5",25.83,"F",17.89,19.05,45.59,"C",54.05
51,286.12,49.43,-0.56,60.8,23.05,5.7,17.1,57,6.73,35.06,-0.11,"a5",16.96,"F",17.89,19,45.63,"B",54
52,23.38,49.56,-0.75,59.4,9.76,8.46,17.1,60,7.92,16.86,1.87,"a5",26.03,"I",17.89,19.07,45.63,"C",54
53,82.95,49.63,-0.85,63,23.05,6.13,17.1,58,7.1,37.47,-2.01,"a3",11.21,"G",17.89,19.1,45.59,"A",53.9
54,35.43,49.7,-1,63.1,NA,NA,NA,56,8.34,18.16,-3.86,"a3",27.39,"D",NA,19.03,45.72,"C",53.83
55,40.34,49.83,-0.97,62.2,12.74,7.73,17.1,58,7.73,21.95,-0.93,"a4",18.26,"I",17.89,19,45.9,"B",53.79
56,14.77,50,0.1,62.3,9.95,10.05,17.13,60,8.53,17.69,9.79,"a4",19.49,"J",17.89,19,45.9,"B",53.76
57,240.38,50,-0.69,62.8,18.36,5.91,17.2,60,6.87,26.64,-2.33,"a4",23.18,"F",17.89,19,45.72,"C",53.88
58,40.77,50,-0.98,61.5,37.49,7.73,17.2,59,7.37,56.36,0.48,"a3",19.96,"J",17.89,19,45.79,"B",54
59,358.42,50.09,-0.52,63.2,19.44,5.08,17.2,55,7.14,21.31,-3.27,"a3",15.25,"I",17.89,19,45.86,"B",54.06
60,146.31,49.96,-0.65,62.9,14.05,5.7,17.2,59,6.83,19.79,-3.68,"a3",29.25,"E",17.89,18.93,45.52,"D",53.8
61,33.64,49.72,-1,62.1,27.36,7.43,17.2,60,8,43.65,0.19,"a4",20.57,"G",17.89,18.97,45.14,"B",53.15
62,44.4,49.46,-1,62.5,10.77,7.89,17.2,57,7.56,17.85,-3.05,"a2",24.95,"F",17.86,18.89,44.83,"C",52.8
63,44.04,48.99,-1,62.2,16.64,8.28,17.15,55,7.7,28.44,2.37,"a5",26.55,"G",17.79,18.86,44.57,"C",52.36
64,409.84,48.36,-0.52,64.3,22.99,4.31,17.1,55,6.3,32.1,0.32,"a2",21.68,"I",17.86,18.79,44.66,"C",51.63
65,257.73,48.03,-0.51,63.6,18.72,5.56,17.1,55,7.8,26.84,-3.84,"a2",18.13,"H",18,18.79,45.06,"B",51.4
66,307.22,47.77,-0.51,61,23.88,5.2,17.1,57,5.91,36.17,1.01,"a5",15.39,"D",18,18.7,44.46,"B",51.05
67,22.55,47.47,-1,61.5,7.95,7.41,17.1,58,7.73,12.78,-1.72,"a5",9.44,"G",17.89,18.7,43.96,"A",50.76
68,122.32,47.27,-0.75,63.3,17.75,6.17,17.03,54,6.65,28.8,-3.88,"a2",16.56,"D",17.89,18.7,43.57,"B",50.65
69,331.67,46.93,-0.51,63.1,22.26,5.84,17,59,5.76,32.66,-2.71,"a3",14.62,"F",17.86,18.7,43.1,"B",50.42
70,290.28,46.79,-0.56,60.2,22.01,6.11,17.07,60,6.1,33.09,-1.83,"a4",15.47,"H",17.79,18.63,42.77,"B",50.16
71,179.86,46.59,-0.62,60.5,19.06,5.44,17.03,62,6.53,29.91,-0.91,"a4",16.27,"E",17.79,18.67,42.43,"B",50.03
72,66.38,46.39,-0.94,61.6,NA,NA,NA,58,7.17,14.65,-3.46,"a4",15.96,"F",NA,18.6,42.23,"B",49.83
73,59.38,46.03,-0.99,62.6,10.29,7.02,17,56,8.27,15.65,-4.14,"a3",26.65,"F",17.7,18.6,41.83,"C",49.59
74,96.06,45.66,-0.82,62.9,14.21,6.77,17,54,7.73,22.86,-3.51,"a3",18.12,"E",17.7,18.5,41.5,"B",49.26
75,104.82,45.46,-0.78,62.2,16.47,6.27,17,55,7.45,26.93,-1.08,"a5",18.02,"F",17.7,18.5,41.4,"B",49.2
76,362.32,45.29,-0.42,62.2,20.72,4.94,17.03,59,6.21,27.55,-1.61,"a3",27.05,"E",17.7,18.5,41.33,"D",49.09
77,203.87,45.24,-0.68,62.1,19.83,6.11,17.05,56,7.08,30.8,-0.85,"a5",17.4,"E",17.7,18.5,41.2,"B",49
78,155.16,45.23,-0.77,62.4,16.94,6.47,17.1,59,7.46,26.46,-3.37,"a3",25.26,"D",17.79,18.43,40.9,"C",48.59
79,120.12,45.2,-0.79,61.6,17.26,7.12,17.1,54,6.95,27.98,-2.69,"a3",17.08,"G",17.79,18.5,40.7,"B",48.46
80,42.74,45.13,-1,59.8,10.93,7.06,17.1,61,6.91,18.29,-3.6,"a3",23.07,"H",17.86,18.5,40.63,"C",48.19
81,298.06,45.2,-0.6,61.4,17.9,4.85,17.1,56,8,20.35,-0.42,"a5",17.11,"G",17.82,18.5,40.47,"B",47.97
82,199.6,45.2,-0.55,60.7,27.75,5.2,17.1,58,7.22,43.13,0.79,"a4",18.79,"D",17.89,18.57,40.33,"B",47.83
83,35.24,45,-0.98,61.5,16.06,7.05,17.1,55,7.42,27.69,-0.54,"a5",25.67,"G",17.93,18.55,40.03,"C",47.55
84,245.7,44.79,-0.54,61.4,25.84,5.38,17.1,55,7.24,40.02,1.05,"a5",11.29,"H",18,18.6,39.7,"A",47.2
85,201.01,44.7,-0.64,62.6,27.81,5.47,17.1,57,6.79,43.21,1.16,"a5",31.51,"G",18,18.5,39.66,"D",47.2
86,27.54,44.56,-0.95,62.6,6.96,7.92,17.17,58,7.94,9.11,-2.2,"a4",24.86,"E",17.89,18.5,39.59,"C",47.23
87,28.59,44.5,-1,62,28.99,8.06,17.1,56,8.51,45.79,1.88,"a4",21.72,"G",17.89,18.5,39.59,"B",47.29
88,273.97,44.4,-0.54,61.9,22.87,6.19,17.1,57,6.83,34.94,-0.64,"a5",17.18,"G",17.89,18.5,39.59,"B",47.33
89,40.83,44.33,-0.99,62.1,8,7.56,17.1,58,7.68,10.56,-3.99,"a3",16.5,"F",17.89,18.5,39.59,"B",47.28
90,39.26,44.29,-0.89,59.7,18.71,8.39,17.1,59,7.08,31.67,2.06,"a4",24.98,"I",17.95,18.5,39.56,"C",47.14
91,235.02,44.23,-0.51,60.6,17.19,5.64,17.1,62,6.9,23.61,-2.41,"a4",15.9,"E",18.08,18.5,39.48,"B",47.01
92,25.61,44.2,-0.98,61,14.3,6.81,17.1,56.4,9.27,25.04,-0.97,"a5",21.73,"G",18.18,18.5,39.27,"B",46.92
93,85.29,44.13,-0.92,60.2,13.59,6.29,17.1,60,8.03,21.98,-2.61,"a4",26.69,"F",18.1,18.5,39.09,"C",46.79
94,105.43,44,-0.77,61.6,14.92,5.61,17.1,57,5.77,23.97,-0.7,"a5",14.3,"G",18.07,18.5,39.06,"B",47
95,163.8,43.79,-0.8,62,14.63,5.52,17.1,56,7.41,20.31,-1.37,"a5",24.15,"E",17.97,18.46,39,"C",47
96,334.45,43.79,-0.55,61.9,NA,NA,NA,55,6.41,47.94,0.32,"a5",17.34,"H",NA,18.39,39,"B",47
97,29.52,43.7,-0.96,61,20.87,7.21,17.1,62,9.32,34.89,-0.74,"a4",31.97,"F",18.03,18.39,39.09,"C",46.9
98,195.5,43.79,-0.66,60.9,26.12,5.5,17.17,55,6.54,40.87,0.94,"a5",30.35,"G",18.32,18.67,38.83,"D",46.53
99,113.38,43.79,-0.83,62,12.81,6.5,17.17,58,6.93,18.51,-4.32,"a3",15.79,"F",18.45,18.79,38.65,"B",46.22
100,347.83,43.79,-0.44,60.9,19.77,4.48,17.2,59,7.15,24.83,-0.4,"a3",16.07,"E",18.53,18.79,38.25,"B",45.98
101,283.29,43.73,-0.58,61.8,NA,NA,NA,58,8.13,25.52,-2.73,"a4",18.46,"F",NA,18.78,38.19,"B",45.89
102,227.53,43.66,-0.56,60.5,15.7,5.31,17.2,58,6.32,17.46,-2.89,"a4",7.26,"G",18.39,18.72,38.03,"A",45.81
103,37.79,43.53,-1,62.3,11.97,7.25,17.2,59,8.52,20.61,-2.03,"a4",28.22,"F",18.38,18.7,38,"C",45.79
104,56.56,43.4,-1,57.8,13.37,7.69,17.1,61,7.68,22.59,-3.03,"a2",25.85,"J",18.24,18.7,37.95,"C",45.72
105,93.41,43.33,-0.92,61.5,12.91,7.37,17.1,58,7.11,20.09,-3.2,"a3",23.63,"I",18.2,18.63,37.9,"C",45.71
106,46.35,43.26,-0.99,59.9,26.7,7.66,17.1,60,7.93,42.71,0.6,"a4",20.36,"J",18.14,18.6,37.91,"B",45.79
107,127.06,43.2,-0.76,62.7,12.67,6.12,17.1,59,6.37,16.7,-3.6,"a4",20.62,"D",18.1,18.6,37.95,"C",45.81
108,19.42,43.15,-0.73,60.6,7.97,8.62,17.1,57,8.21,13.12,1.03,"a4",18.21,"I",18.1,18.6,38.05,"B",45.9
109,58.09,43,-1,65.7,NA,NA,NA,61,8.76,14.94,-6.36,"a1",28.02,"F",NA,18.5,38.34,"C",46
110,373.13,42.93,-0.51,60.8,20.69,5.1,17.07,65,7.22,26.7,-3.29,"a2",23.66,"D",18.07,18.5,38.9,"C",46.13
111,377.36,42.86,-0.41,61.9,21.13,5.48,17,59,5.87,28.07,-2.98,"a3",13.97,"F",18.13,18.5,39.33,"B",46.33
112,41.44,42.83,-1,59.9,13.12,7.02,17.03,60,7.67,22.61,-3.11,"a3",18.21,"H",18.2,18.6,39.33,"B",46.63
113,351.49,42.83,-0.51,61.1,20.22,5.78,17.03,55,7.2,26.41,-1.68,"a5",16.45,"F",18.25,18.67,39.45,"B",46.83
114,45.31,42.7,-0.99,62.5,11.36,6.75,17,56,7.8,19.07,-3.76,"a3",25.83,"H",18.2,18.7,39.26,"C",47.03
115,43.01,42.79,-0.99,61.4,8.52,7.94,17,59,7.66,12.07,-1.79,"a4",24.37,"G",18.1,18.7,39.09,"C",46.77
116,46.41,42.79,-0.99,61.5,8.61,6.98,17,60,8.23,11.89,-3.7,"a4",17.78,"G",18.1,18.7,39.09,"B",46.65
117,31.89,42.79,-1,58.9,15.92,7.52,17,58,8.51,27.52,-0.81,"a4",20.42,"F",18.07,18.6,39.06,"B",46.5
118,89.13,42.79,-0.89,64.4,10.4,6.69,16.93,57,6.48,12.19,-6.27,"a2",13.91,"F",18,18.53,39,"B",46.56
119,51.99,42.79,-1,61.5,10.73,8.37,16.89,58,7.91,17.31,0.39,"a4",25.88,"I",17.96,18.5,39,"C",46.9
120,190.11,42.86,-0.55,61.8,25.42,5.95,16.96,57,7.58,39.91,0.18,"a5",34.44,"E",17.89,18.5,39,"D",47.13
121,19.63,42.9,-0.74,61.2,18.2,9.02,16.89,58,8.87,31.17,5.84,"a5",21.48,"H",17.89,18.5,39,"B",47.33
122,19.45,42.9,-0.6,59.4,16.98,8.9,16.89,59,7.96,29.36,5.1,"a5",27.47,"D",17.79,18.5,38.9,"C",47.4
123,35.27,42.84,-0.88,60,7.93,7.29,16.89,57,7.55,11.21,-2.31,"a5",23.97,"H",17.79,18.39,38.9,"C",47.4
124,168.49,42.83,-0.65,60.9,18,5.57,16.89,56,7.21,28.19,-0.34,"a5",17.47,"E",17.79,18.39,38.97,"B",47.4
125,77.73,42.9,-0.91,59.4,11.58,7.12,16.89,59,7.49,17.7,-3.84,"a3",24.5,"F",17.79,18.39,39,"C",47.4
126,259.07,42.9,-0.64,61.2,17.86,5.91,16.89,55,6.36,24.22,-3.81,"a3",27.53,"J",17.7,18.39,39,"D",47.33
127,447.43,42.9,-0.51,61.2,25.19,5.52,16.89,60,7.38,36.12,-2.06,"a3",25.37,"D",17.7,18.29,39,"C",47.29
128,169.64,42.83,-0.66,62,16.49,6.07,16.89,56,6.88,24.99,-1.44,"a5",30.15,"G",17.7,18.29,39,"D",47.29
129,76.72,43.2,-0.92,62,10.39,6.16,16.89,57,7.62,14.16,-2.69,"a5",16.68,"F",17.78,18.36,39.69,"B",47.71
130,15.98,43.8,0.1,63.4,10.67,8.34,16.89,58,8.35,19,-0.28,"a3",27.63,"G",17.81,18.48,40.2,"C",48.34
131,49.57,44.19,-1,58.9,11.19,6.87,16.89,56,8.53,18.5,-1.79,"a5",27.92,"E",17.86,18.56,40.69,"C",48.84
132,14.34,45.1,-0.5,61.3,13.49,9.46,16.93,58,8.32,23.98,6.63,"a4",19.76,"G",17.84,18.6,41.09,"B",49.66
133,25.69,45.43,-0.96,63.5,12.28,7.51,16.93,55,8.42,21.6,-3.4,"a2",19.67,"F",17.84,18.6,41.27,"B",50.06
134,27.07,45.7,-0.73,64.9,28.26,8.3,17,58,7.46,44.85,-0.36,"a1",27.03,"H",17.85,18.63,41.44,"C",50.39
135,48.5,45.83,-0.99,62.7,8.58,7.33,17,62,8.17,11.48,-4.34,"a3",17.57,"F",17.89,18.61,41.59,"B",50.57
136,18.48,46.03,-0.45,58.7,7.98,8.92,17,60,8.9,13.23,1.42,"a3",28.51,"I",17.8,18.6,41.73,"C",50.88
137,14.09,46.16,-0.75,60.4,24.95,9.31,17,57,7.94,40.59,8.06,"a5",20.29,"F",17.79,18.62,41.94,"B",51.25
138,299.4,46.29,-0.59,61.3,23.77,6.14,17,55,6.32,36.1,-2.54,"a3",16.22,"H",17.79,18.7,42.13,"B",51.47
139,238.66,46.53,-0.51,61.6,27.71,5.98,17,56,6.57,42.79,0.29,"a5",30.55,"E",17.79,18.7,42.29,"D",51.59
140,109.65,46.66,-0.64,61.3,12.61,6.49,17,56,7.7,18.21,-2.35,"a5",32.7,"E",17.84,18.7,42.49,"D",51.63
141,211.64,46.83,-0.59,63.6,15.69,5.67,17,60,6.62,19.86,-5.02,"a2",14.78,"F",17.8,18.73,42.59,"B",51.79
142,190.11,46.97,-0.55,60.8,20.41,5.58,17,58,6.94,32.1,-0.98,"a4",10.36,"G",17.82,18.79,42.9,"A",51.92
143,42.89,47.13,-0.99,59.5,10.84,7.2,17,59,8.8,18.09,-2.45,"a4",28.71,"D",17.89,18.75,43.16,"C",52.19
144,57.41,47.43,-0.99,62.9,NA,NA,NA,60,7.77,44.45,-0.66,"a4",20.13,"I",NA,18.88,43.43,"B",52.32
145,60.92,47.56,-0.96,60.5,24.6,6.16,17,62.3,7.17,39.8,-2.83,"a2",18.64,"F",17.89,18.75,43.59,"B",52.29
146,308.17,47.77,-0.6,61.5,22.45,5.02,17.03,56,7.12,33.56,1.22,"a5",17.52,"G",17.89,18.7,43.59,"B",52.43
147,330.58,48.66,-0.51,61.9,24.74,5.72,17.1,56,6.26,37.3,0,"a5",16.16,"G",17.89,18.7,44.37,"B",54.01
148,104.93,48.79,-0.76,63.4,12.1,5.49,17.03,64,7.53,17,-4.5,"a2",16.79,"E",17.98,18.7,44.68,"B",54.56
149,194.17,48.96,-0.54,60.5,17.9,6.01,17.1,59,7.19,27.25,-2.17,"a4",17.22,"D",18,18.7,44.76,"B",54.85
150,38.89,49.09,-1,62.2,12.67,7.37,17.1,57,8.39,21.88,-0.69,"a5",27.97,"H",18,18.75,44.77,"C",55
151,220.51,49.32,-0.52,61.9,25.95,5.69,17.1,58,6.23,40.41,-0.48,"a4",29.04,"H",18,18.73,44.68,"D",54.96
152,118.41,49.47,-0.77,61.1,15.26,5.77,17.1,55,7.82,24.22,-0.98,"a5",18.38,"E",18,18.77,44.61,"B",54.88
153,46.2,49.53,-0.96,63.4,23.82,8.88,17.1,56.8,8.24,38.84,3.67,"a3",28.98,"J",18,18.74,44.71,"C",54.77
154,217.16,49.59,-0.52,61.2,15.87,5.04,17.1,56,6.65,20.05,-0.57,"a5",8.19,"F",18.01,18.73,44.78,"A",54.66
155,400.8,49.59,-0.51,62.1,25.39,5.77,17.1,58,7.2,37.37,-0.22,"a5",25.1,"E",18.03,18.71,44.76,"C",54.55
156,73.88,49.66,-0.93,62.4,16.77,5.88,17.1,56,7.18,28.11,-0.53,"a5",24.87,"D",18.06,18.73,44.79,"C",54.43
157,34.84,49.7,-0.94,62.4,9.15,8.13,17.1,58,8.45,14.71,-0.7,"a4",27.24,"I",18.03,18.71,44.69,"C",54.29
158,106.67,49.76,-0.76,61.3,NA,NA,NA,57,7.24,26.54,-0.61,"a5",17.55,"G",NA,18.73,44.66,"B",54.2
159,196.08,49.79,-0.54,60.8,NA,NA,NA,58,6.58,35.26,-1.01,"a4",30.04,"E",NA,18.7,44.67,"D",54.15
160,62.05,49.97,-0.76,61.3,10.93,5.53,17.2,56,7.58,17.14,-1.26,"a5",17.21,"D",18.03,18.7,44.92,"B",53.93
161,167.79,49.97,-0.65,61,22.89,6.23,17.2,56,7.28,36.39,-0.3,"a5",18.44,"F",18.03,18.7,44.95,"B",53.86
162,118.41,50,-0.77,62.6,11.81,5.69,17.2,57,7.24,14.01,-2.54,"a5",15.53,"E",18.01,18.7,44.89,"B",53.78
163,296.3,50.06,-0.51,61.3,NA,NA,NA,56,7.06,26.47,0.1,"a5",16.43,"G",NA,18.7,44.83,"B",53.73
164,111.11,50.13,-0.78,61.4,21.51,6.6,17.2,57,6.82,34.96,-0.38,"a5",17.5,"F",18,18.7,44.9,"B",53.66
165,48.88,50.2,-1,61.3,12.97,8.49,17.2,56,8.84,22.1,2.49,"a5",29.3,"I",18,18.7,44.95,"C",53.59
166,348.43,50.2,-0.56,60.1,30.29,5.24,17.2,56,6.67,45.67,1.68,"a5",24.35,"F",18,18.7,45.07,"C",53.5
167,208.33,50.2,-0.73,59.7,17.98,7.4,17.2,59,6.86,26.96,-1.69,"a4",23.33,"G",18,18.7,45.24,"C",53.42
168,163.53,50.33,-0.66,62.2,33.92,5.49,17.2,53,7.64,51.5,1.66,"a5",35.45,"F",18.03,18.7,45.4,"D",53.3
169,38.28,50.29,-1,59.5,11.16,7.76,17.2,60,8.3,18.99,-2.2,"a3",27.36,"E",18.07,18.68,45.53,"C",53.25
170,143.99,50.33,-0.79,59,15.17,6.37,17.2,60,6.91,22.99,-2.78,"a4",23.19,"G",18.05,18.64,46.08,"C",53.26
171,22.03,50.22,-0.68,58.6,NA,NA,NA,62,8.48,43.9,2.04,"a3",30.04,"H",NA,18.6,45.66,"C",52.83
172,15.68,49.6,-0.5,63.7,13.95,8.61,17.2,58,8.11,24.7,0.39,"a2",19.41,"I",17.95,18.55,44.3,"B",51.9
173,117.79,49.19,-0.79,63.6,14.26,6.3,17.2,56,7.73,22.05,-3.76,"a3",17.91,"G",17.89,18.5,43.16,"B",51.5
174,163.4,48.46,-0.8,61,15.19,6.2,17.1,57,7.69,22.03,-3.95,"a3",17.59,"I",17.89,18.5,42.51,"B",50.9
175,33.57,48.1,-0.99,62.2,13.65,9.08,17.1,59,7.45,23.77,4.44,"a4",17.93,"G",17.79,18.39,41.97,"B",50.56
176,103.52,47.8,-0.78,60.6,37.5,5.28,17.1,56,7.53,56.19,2.41,"a5",20.23,"G",17.79,18.39,41.77,"B",50.29
177,301.66,47.4,-0.59,61.5,NA,NA,NA,56,7.18,28.38,-0.07,"a5",24.13,"D",NA,18.39,41.43,"C",50.03
178,124.92,47.07,-0.78,61.2,13.28,5.7,17.1,56,7.19,19.04,-1.67,"a5",16.32,"H",17.7,18.29,41.23,"B",49.76
179,185.36,46.72,-0.65,62.3,22.51,5.98,17,57,6.75,35.6,-0.21,"a5",17.27,"E",17.7,18.29,41.03,"B",49.63
180,264.9,45.86,-0.65,60.1,23.96,5.88,17,60,6.89,36.9,-1.13,"a4",24.4,"E",17.73,18.26,41.67,"C",49.13
181,60.92,45.73,-0.97,62.3,NA,NA,NA,59,7.57,15.31,-2.47,"a5",16.91,"I",NA,18.2,42.27,"B",48.93
182,12.9,45.47,0.3,59.5,20.73,8.64,17,59,8.56,34.86,3.36,"a4",29.71,"I",17.79,18.26,42.47,"C",49.16
183,197.43,45.53,-0.59,62.6,16.03,5.15,17,56,6.99,22.37,-0.34,"a5",16.07,"E",17.73,18.26,42.27,"B",49.22
184,186.05,47.06,-0.52,61.2,14.12,5.48,17.1,59,5.95,14.44,-3.63,"a4",24.38,"D",17.67,18.15,41.3,"D",48.99
185,185.87,46.86,-0.65,59.9,NA,NA,NA,58,6.37,26.16,-2.53,"a4",15.46,"F",NA,18.1,41.03,"B",48.66
186,43.05,46.53,-1,62.6,10.71,7.83,17,56,8.47,17.8,-0.21,"a5",27.68,"I",17.6,18.1,40.72,"C",48.46
187,110.13,46.19,-0.83,61,25.15,5.66,17,57,7.64,40.18,0.71,"a5",27.18,"D",17.6,18.1,40.46,"C",48.16
188,39.5,45.66,-1,60.2,18.27,8.16,17,57,8.45,31.01,2.19,"a5",20.58,"H",17.5,18,40.13,"B",47.7
