"id","class","color","vineyard","fixed.acidity","acid.sulfur","volatile.acidity","sulfur.taste","citric.acid","residual.sugar","chlorides","chlor.class","free.sulfur.dioxide","condition","total.sulfur.dioxide","density","pH","acid.taste","sulphates","acidity.variance","alcohol"
45,"good","white","E",6.6,2.26405789499846,0.26,3.22249427410999,0.28,9.4,0.028,"f3",13,"I1",121,0.99254,3.17,2.31,0.34,0.24,12.1
46,"medium","white","B",6.9,3.58935375649626,0.26,2.80119588795295,0.33,12.6,0.051,"h3",59,"I2",173,0.998,3.39,1.76,0.38,0.24,9.9
47,"good","white","E",6.8,3.25090199945686,0.25,2.7762639241361,0.29,2,0.042,"e1",19,"E",189,0.9952,3.46,1.62,0.54,0.24,10.2
48,"good","white","A",6.7,2.94377927673491,0.22,2.73456804877842,0.39,10.2,0.038,"f2",60,"I1",149,0.99725,3.17,1.68,0.54,0.24,10
49,"medium","white","D",6.5,3.52633936257427,0.38,2.3817827501369,0.34,3.4,0.036,"h2",34,"S3",200,0.9937,3.14,1.49,0.76,0.24,10
50,"good","white","D",7,2.89523846055307,0.36,2.95826191287426,0.3,5,0.04,"g1",40,"S1",143,0.99173,3.33,2.82,0.42,0.24,12.2
51,"good","white","D",5.8,2.87195441163515,0.27,2.38631224244966,0.4,1.2,0.076,"i1",47,"I1",130,0.99185,3.13,1.91,0.45,0.24,10.3
52,"good","white","E",4.7,3.67794692812338,0.455,3.32886424637614,0.18,1.9,0.036,"b3",33,"I1",106,0.98746,3.21,2.13,0.83,0.24,14
53,"excellent","white","B",7.4,2.29843498950599,0.24,4.44370191744553,0.36,2,0.031,"g1",27,"S2",139,0.99055,3.28,1.66,0.48,0.24,12.5
54,"good","white","A",8.8,2.45763558062893,0.23,4.95367989670335,0.74,3.2,0.042,"d3",15,"I1",126,0.9934,3.02,2.89,0.51,0.24,11.2
55,"good","white","B",6.5,2.9584166236446,0.19,4.09373541011827,0.32,1.4,0.04,"f3",31,"I1",132,0.9922,3.36,1.75,0.54,0.24,10.8
56,"medium","white","B",6.5,2.79021945575269,0.22,3.08230264933837,0.25,17.1,0.05,"g2",44,"I1",138,1.0001,3.3,2.03,0.37,0,8.8
57,"good","white","C",6.5,2.16136166901971,0.37,4.71058278545938,0.3,2.2,0.033,"i1",39,"P1",107,0.98894,3.22,1.56,0.53,0.24,13.5
58,"good","red","B",10,2.69580235208593,0.49,2.91074387986447,0.2,11,0.071,"e1",13,"S1",50,1.0015,3.16,2.37,0.69,0.24,9.2
59,"good","white","C",6.2,2.26016398589969,0.3,2.37224042097413,0.32,1.7,0.032,"b3",30,"I1",130,0.9911,3.28,1.67,0.41,0.24,11.2
60,"good","white","C",7.9,3.4046054334193,0.46,3.1046485162227,0.32,4.1,0.033,"f2",40,"I1",138,0.9912,3.18,2.29,0.44,0.24,12.8
61,"good","white","D",6.7,3.0418146545227,0.32,1.99247248405872,0.32,1.7,0.031,"h1",31,"I2",114,0.98946,3.12,2.42,0.35,0,12.5
62,"good","white","C",5.9,3.4076490970672,0.18,2.55844451657889,0.28,1,0.037,"e3",24,"I1",88,0.99094,3.29,1.86,0.55,0.24,10.65
63,"medium","white","E",8,3.07932532388861,0.22,2.69715493087815,0.31,5.6,0.049,"i1",24,"I1",97,0.993,3.1,1.47,0.42,0.24,10.9
64,"poor","red","D",7.3,2.72959023689562,0.98,2.42284525207577,0.05,2.1,0.061,"f1",20,"I1",49,0.99705,3.31,1.94,0.55,0.24,9.7
65,"good","red","E",7.4,3.16511495508305,0.52,2.92980641824277,0.13,2.4,0.078,"c3",34,"I1",61,0.99528,3.43,2.33,0.59,0.24,10.8
66,"good","white","C",6.9,3.41152131458197,0.22,7.12843974619206,0.31,6.3,0.029,"h3",41,"I2",131,0.99326,3.08,2.09,0.49,0.24,10.8
67,"medium","red","D",11.4,3.69811065648696,0.46,1.93371138974671,0.5,2.7,0.122,"c1",4,"I2",17,1.0006,3.13,2.28,0.7,0.24,10.2
68,"poor","white","C",6.9,2.97492532798431,0.32,1.95849037485449,0.16,1.4,0.051,"i3",15,"I1",96,0.994,3.22,1.98,0.38,0.24,9.5
69,"medium","white","C",7.5,3.0474433883859,0.33,3.36188748766977,0.39,12.4,0.065,"g3",29,"S2",119,0.9974,3.16,2.54,0.39,0.24,9.4
70,"medium","white","A",6.8,3.72430040016403,0.36,2.28409502723757,0.32,1.6,0.039,"i2",10,"I2",124,0.9948,3.3,2.28,0.67,0.24,9.6
71,"medium","white","A",6.2,2.64033346673375,0.235,2.19540152452908,0.34,1.9,0.036,"g2",4,"I2",117,0.99032,3.4,1.71,0.44,0.24,12.2
72,"good","white","B",6.7,3.11072500099978,0.19,1.85834301282035,0.41,15.6,0.056,"e2",75,"I2",155,0.9995,3.2,2.26,0.44,0.24,8.8
73,"good","white","B",6.3,2.18489940633246,0.36,2.55590964654461,0.5,8.3,0.053,"b1",51,"S3",202,0.9955,3.2,2.11,0.51,0.24,9.6
74,"medium","white","D",8.6,3.3721553984655,0.31,2.89456877470502,0.3,0.9,0.045,"c1",16,"I1",109,0.99249,2.95,2.19,0.39,0.24,10.1
75,"good","white","D",6.3,2.76652631856405,0.17,4.1296767021382,0.32,4.2,0.04,"f2",37,"I1",117,0.99182,3.24,1.38,0.43,0.24,11.3
76,"medium","white","D",7.5,2.96165635407046,0.2,3.49804911722104,0.49,1.3,0.031,"f3",8,"I1",97,0.9918,3.06,1.95,0.62,0.24,11.1
77,"good","white","D",6,1.93036319556036,0.39,2.69497596608297,0.26,2.7,0.038,"i3",39,"I1",187,0.99325,3.41,2.15,0.5,0.24,10.8
78,"good","white","E",6.9,3.43690427761904,0.28,2.03275997180766,0.24,2.1,0.034,"f1",49,"I1",121,0.98882,2.98,2.94,0.43,0.24,13.2
79,"good","white","E",7.7,4.38152607305426,0.44,2.32350315856075,0.24,11.2,0.031,"c3",41,"I1",167,0.9948,3.12,1.93,0.43,0.24,11.3
80,"medium","red","B",11.5,3.40745057771567,0.42,0.981156065909674,0.48,2.6,0.077,"h3",8,"S1",20,0.99852,3.09,1.95,0.53,0.24,11
81,"medium","white","A",6.9,2.36747831223303,0.38,2.05270756069937,0.25,9.8,0.04,"h2",28,"S2",191,0.9971,3.28,2.84,0.61,0.24,9.2
82,"medium","white","C",7.2,3.53104918695597,0.26,2.27679098974759,0.38,1.5,0.061,"b2",12,"I1",120,0.99192,3.18,2.27,0.46,0.24,10.4
83,"good","white","A",8.2,2.99602260534909,0.21,2.27104386683574,0.32,10.65,0.053,"g2",53,"I1",145,0.9972,3.17,2.21,0.48,0.24,10.2
84,"good","white","E",7.6,3.12498948628053,0.18,1.99469061136085,0.46,10.2,0.055,"e3",58,"I1",135,0.9968,3.14,2.11,0.43,0.24,9.9
85,"good","white","B",8.1,3.39381090748038,0.43,3.04092337849036,0.42,6.6,0.033,"d1",36,"S2",141,0.9918,2.98,1.93,0.39,0.24,13.3
86,"medium","white","E",6.6,2.44092276561535,0.22,1.5397225846955,0.58,1.1,0.133,"d2",52,"I1",136,0.9932,3.1,2.68,0.3,0.24,9.1
87,"good","red","D",5.9,1.8807996398811,0.55,3.81200102585087,0.1,2.2,0.062,"f2",39,"S1",51,0.99512,3.52,1.9,0.76,0.24,11.2
88,"medium","white","A",6.7,3.73776678804954,0.23,2.63371069997506,0.42,11.2,0.047,"b3",52,"P1",171,0.99758,3.54,1.72,0.74,0.24,10.4
89,"good","white","D",6.5,3.23160065185152,0.18,2.59381459976292,0.33,1.4,0.029,"e3",35,"I1",138,0.99114,3.36,1.67,0.6,0.24,11.5
90,"good","white","B",6.3,3.7560857158965,0.27,2.77609420990686,0.38,0.9,0.051,"e1",7,"S1",140,0.9926,3.45,1.73,0.5,0.24,10.5
91,"good","red","B",7.9,2.87235031110836,0.58,2.84456884258766,0.23,2.3,0.076,"e1",23,"I1",94,0.99686,3.21,2.14,0.58,0.24,9.5
92,"good","white","E",6.1,2.90842854168019,0.22,2.85587546558962,0.46,1.8,0.16,"d2",34,"I1",74,0.9884,3.19,1.54,0.33,0.24,13.4
93,"medium","white","B",6.2,3.67765037450922,0.25,4.38238825521825,0.54,7,0.046,"c3",58,"I1",176,0.99454,3.19,1.99,0.7,0.24,10.4
94,"good","white","D",6.5,2.94496244945455,0.28,2.26505110225492,0.35,15.4,0.042,"d3",55,"I2",195,0.9978,3.23,2.41,0.5,0.24,9.6
95,"good","white","E",6.8,3.14566075881234,0.37,1.57136500745687,0.67,1.5,0.175,"g3",16,"I1",98,0.99244,3.06,2.58,0.56,0.24,10.3
96,"good","red","D",6.9,3.34682410097691,0.41,3.48069616727748,0.33,2.2,0.081,"f3",22,"I1",36,0.9949,3.41,2.18,0.75,0.24,11.1
97,"medium","red","B",7.3,3.20308087230354,0.58,1.44151831145951,0.3,2.4,0.074,"i2",15,"I1",55,0.9968,3.46,2.18,0.59,0.24,10.2
98,"good","white","B",6.6,2.91109443165781,0.25,2.20995562504143,0.3,14.4,0.052,"f2",40,"S1",183,0.998,3.02,1.83,0.5,0.24,9.1
99,"medium","red","D",8.3,2.74077748586018,0.6,1.47172110119418,0.25,2.2,0.118,"c3",9,"I1",38,0.99616,3.15,2.42,0.53,0.24,9.8
100,"good","white","C",7.1,2.98984140964577,0.2,2.21226138395512,0.31,6.85,0.053,"f1",32,"I1",211,0.99587,3.31,2.83,0.59,0.24,10.4
101,"medium","red","E",11.1,2.84490143808881,0.39,2.34860069117454,0.54,2.7,0.095,"h3",21,"I2",101,1.0001,3.13,2.13,0.51,0.24,9.5
102,"good","red","D",6.6,1.86381236965799,0.5,2.21163305601872,0.01,1.5,0.06,"i1",17,"I2",26,0.9952,3.4,1.42,0.58,0.24,9.8
103,"good","white","E",6.6,3.86937294952324,0.23,1.15922930855998,0.2,11.4,0.044,"b3",45,"S2",131,0.99604,2.96,2.86,0.51,0.24,9.7
104,"medium","red","D",8.8,3.60569553856818,0.59,2.21295130814903,0.18,2.9,0.089,"h1",12,"I1",74,0.99738,3.14,1.95,0.54,0.24,9.4
105,"medium","white","B",6.3,2.84773899808022,0.2,2.67065274483782,0.37,11.8,0.045,"e3",58,"I2",130,0.99519,3.2,1.62,0.35,0.24,10.8
106,"good","white","B",7.4,3.68184290102481,0.34,3.3360398218657,0.3,14.9,0.037,"d2",70,"I1",169,0.99698,3.25,1.8,0.37,0.24,10.4
107,"medium","white","D",5.5,3.07403330040893,0.12,3.78835155298683,0.33,1,0.038,"c3",23,"I1",131,0.99164,3.25,1.95,0.45,0.24,9.8
108,"poor","white","C",6.9,3.24824991394101,0.19,2.33237739671205,0.6,4,0.037,"b2",6,"I2",122,0.99255,2.92,2.07,0.59,0.24,10.4
109,"medium","white","D",6.4,2.89605858731292,0.26,5.80044255704325,0.21,8.2,0.05,"h3",51,"I1",182,0.99542,3.23,2.89,0.48,0.24,9.5
110,"good","white","D",6.9,2.85358133978642,0.26,1.7186201879997,0.29,4.2,0.043,"d3",33,"I2",114,0.9902,3.16,2.11,0.31,0.24,12.5
111,"good","white","E",7,3.0423952411366,0.25,1.85868058509503,0.33,2.1,0.021,"f1",17,"P1",76,0.99021,3.26,2.85,0.45,0.24,12.3
112,"good","red","E",8.8,3.94986948661766,0.61,2.17609658451731,0.19,4,0.094,"i1",30,"I2",69,0.99787,3.22,1.6,0.5,0.24,10
113,"good","white","C",5.7,2.60395078808134,0.21,3.36914339060797,0.25,1.1,0.035,"h1",26,"I1",81,0.9902,3.31,2.34,0.52,0.24,11.4
114,"good","red","E",10.8,3.68597946861784,0.4,2.6400887719994,0.41,2.2,0.084,"d2",7,"E",17,0.9984,3.08,2.58,0.67,0.24,9.3
115,"good","white","B",7.8,2.90054615990565,0.43,3.78935028949096,0.49,13,0.033,"c1",37,"I1",158,0.9955,3.14,1.57,0.35,0.24,11.3
116,"medium","white","B",6.3,2.77872251909045,0.16,3.42643037630955,0.4,1.6,0.033,"g2",59,"I1",148,0.9914,3.44,2.51,0.53,0.24,11.4
117,"medium","white","D",6.7,3.11370895732392,0.28,5.25541628675195,0.14,1.4,0.043,"f1",64,"I1",159,0.992,3.17,1.53,0.39,0.24,10
118,"good","white","A",5.8,2.55599508628056,0.22,1.5948240522955,0.29,1.3,0.036,"d1",25,"I1",68,0.98865,3.24,2.27,0.35,0.24,12.6
119,"medium","red","E",10,3.80861183587275,0.43,3.90278331484464,0.33,2.7,0.095,"e1",28,"S3",89,0.9984,3.22,3.17,0.68,0.24,10
120,"medium","red","D",7.7,2.91149615522715,0.41,2.52761600289056,0.76,1.8,0.611,"c3",8,"S3",45,0.9968,3.06,2.11,1.26,0.24,9.4
121,"good","white","A",7.2,2.9368554209496,0.37,3.38038933369628,0.15,2,0.029,"d1",27,"I2",87,0.9903,3.3,1.58,0.59,0.24,12.6
122,"medium","red","E",7.2,2.55381306108479,0.56,1.98920797750296,0.26,2,0.083,"c1",13,"I2",100,0.99586,3.26,1.74,0.52,0.24,9.9
123,"excellent","white","D",7.3,3.47438513526443,0.17,4.10945706077973,0.24,8.1,0.121,"b1",32,"S2",162,0.99508,3.17,2.05,0.38,0.24,10.4
124,"good","red","D",8.2,2.02840408838741,0.64,4.26860445174212,0.27,2,0.095,"h2",5,"I1",77,0.99747,3.13,1.42,0.62,0.24,9.1
125,"good","white","E",6.1,3.59544712827154,0.32,3.46805766771012,0.24,1.5,0.036,"f1",38,"I2",124,0.9898,3.29,2.46,0.42,0.24,12.4
126,"medium","red","D",8,3.08738199004221,0.42,3.10544793168892,0.32,2.5,0.08,"h3",26,"P2",122,0.99801,3.22,2.52,1.07,0.24,9.7
127,"good","white","D",6.8,3.42613406592156,0.32,3.12494607704964,0.21,2.2,0.044,"h3",15,"E",68,0.9932,3.17,2.09,0.39,0.24,9.4
128,"good","white","C",8.1,3.19646468066537,0.33,2.43883316464593,0.36,7.4,0.037,"b2",36,"S1",156,0.99592,3.19,2.42,0.54,0.24,10.6
129,"good","white","B",7.9,2.86964880382637,0.14,3.75741994563209,0.45,1.8,0.05,"e1",17,"I2",114,0.9948,3.33,2.32,0.49,0.24,10.7
130,"medium","red","B",8,3.42535259904672,0.71,3.24118298942995,0,2.6,0.08,"c3",11,"I1",34,0.9976,3.44,1.74,0.53,0.24,9.5
131,"good","white","B",5.6,3.96306987745318,0.26,2.49731886360411,0.5,11.4,0.029,"i2",25,"I1",93,0.99428,3.23,3.12,0.49,0.24,10.5
132,"good","white","B",7.3,2.54814925943858,0.23,2.73756491525451,0.37,1.8,0.032,"c3",60,"S1",156,0.992,3.11,2.36,0.35,0.24,11.1
133,"medium","white","E",6.9,3.53527540436777,0.4,3.10824110138922,0.17,12.9,0.033,"f3",59,"S1",186,0.99754,3.08,2.45,0.49,0.24,9.4
134,"medium","white","C",6.4,2.36520635488664,0.5,2.67976002380642,0.16,12.9,0.042,"e3",26,"I1",138,0.9974,3.28,1.71,0.33,0.24,9
135,"good","white","B",6.9,3.10332385738313,0.19,3.06532022000753,0.32,7.9,0.042,"g1",30,"I2",130,0.99456,3.4,1.6,0.39,0.24,10.5
136,"good","white","E",6.4,3.47497498826286,0.17,3.35295957358925,0.34,13.4,0.044,"f1",45,"I2",139,0.99752,3.06,2.1,0.43,0.24,9.1
137,"good","white","A",4.7,3.51073516047734,0.785,6.29706276916028,0,3.4,0.036,"i1",23,"S1",134,0.98981,3.53,1.87,0.92,0.24,13.8
138,"good","white","B",5.7,2.85253654601686,0.135,2.29607482399137,0.3,4.6,0.042,"e2",19,"I1",101,0.9946,3.31,1.64,0.42,0.24,9.3
139,"good","red","D",7.1,2.5350739073501,0.35,3.74943908670988,0.29,2.5,0.096,"b2",20,"I1",53,0.9962,3.42,2.8,0.65,0.24,11
140,"good","white","E",6.1,2.29052831417978,0.15,3.34077685804563,0.4,1.2,0.03,"d2",19,"S2",84,0.98926,3.19,2.53,0.96,0.24,13
141,"good","red","D",8.2,3.00979042028171,0.32,2.56272873598624,0.42,2.3,0.098,"i2",3,"I1",9,0.99506,3.27,2.42,0.55,0.24,12.3
142,"medium","red","D",7.7,2.87425974319345,0.69,2.07808392333011,0.49,1.8,0.115,"g1",20,"S3",112,0.9968,3.21,1.5,0.71,0.24,9.3
143,"medium","white","B",7.2,2.07069775078218,0.2,1.97443873224693,0.38,1,0.037,"d1",21,"I1",74,0.9918,3.21,1.65,0.37,0.24,11
144,"good","red","C",5.4,2.81897950148594,0.835,3.44037383304959,0.08,1.2,0.046,"b1",13,"S3",93,0.9924,3.57,2.68,0.85,0.24,13
145,"medium","white","E",8.7,3.13198443746137,0.24,2.27225695704012,0.35,0.6,0.042,"b1",11,"S1",71,0.9926,3.08,1.75,0.38,0.24,10.6
146,"medium","white","B",5.7,2.5069213568029,0.18,1.81226417162631,0.22,4.2,0.042,"c3",25,"I2",111,0.994,3.35,2.89,0.39,0.24,9.4
147,"medium","white","D",5.1,3.2008544680123,0.305,2.39887243511577,0.13,1.75,0.036,"e1",17,"I2",73,0.99,3.4,1.98,0.51,0.24,12.3333333333333
148,"medium","red","A",7.3,3.62451759784873,0.73,1.94804309479784,0.24,1.9,0.108,"b2",18,"S2",102,0.9967,3.26,1.82,0.59,0.24,9.3
149,"good","white","B",5.3,3.00487031560487,0.3,2.77712539249069,0.3,1.2,0.029,"c1",25,"S3",93,0.98742,3.31,2.17,0.4,0,13.6
150,"medium","white","D",8.6,2.23706681005908,0.26,4.29536536275957,0.41,2.2,0.049,"i1",29,"I1",111,0.9941,2.96,2.24,0.44,0.24,10
151,"good","white","E",6.6,3.8543397787739,0.21,3.38509754318565,0.39,2.3,0.041,"h1",31,"I2",102,0.99221,3.22,1.89,0.58,0.24,10.9
152,"good","red","B",7.8,3.72856659200398,0.58,1.76603063042351,0.02,2,0.073,"d1",9,"I2",18,0.9968,3.36,2.17,0.57,0.24,9.5
153,"medium","red","C",8.4,2.60453460513055,0.56,4.26366705782512,0.04,2,0.082,"i2",10,"I1",22,0.9976,3.22,1.44,0.44,0.24,9.6
154,"good","white","A",7.2,2.90873921349189,0.17,2.05091736496608,0.28,17.55,0.05,"h2",33,"I1",154,0.99971,2.94,2.43,0.43,0.24,9
155,"good","white","B",7.8,2.88949036319527,0.27,3.56790316617812,0.33,2.4,0.053,"i3",36,"I1",175,0.992,3.2,2.03,0.55,0.24,11
156,"good","white","D",6.7,3.13864490180907,0.16,3.72487908060314,0.34,1.6,0.026,"f3",27,"S3",109,0.9934,3.34,1.8,0.58,0.24,10.1
157,"good","white","B",5.7,2.63237235471344,0.36,2.26532189276525,0.21,6.7,0.038,"h3",51,"P2",166,0.9941,3.29,2.45,0.63,0.24,10
158,"medium","white","A",6.8,3.88237079224626,0.36,2.59175935653627,0.32,1.6,0.039,"f3",10,"S2",124,0.9948,3.3,2.48,0.67,0.24,9.6
159,"good","white","C",7.8,2.59856886562979,0.15,2.49763116606245,0.24,7.7,0.047,"d3",21,"I2",98,0.9951,2.94,2.25,0.31,0.24,9.6
160,"good","red","D",6.8,2.83057285936036,0.81,3.11724105594413,0.05,2,0.07,"h2",6,"S2",14,0.99562,3.51,1.55,0.66,0.24,10.8
161,"medium","white","B",6,4.08977053985138,0.26,1.85759812139651,0.5,2.2,0.048,"g3",59,"I1",153,0.9928,3.08,1.57,0.61,0.24,9.8
162,"good","red","D",7.6,3.35467931077715,0.51,1.72526168260654,0.15,2.8,0.11,"i3",33,"I1",73,0.9955,3.17,3.33,0.63,0.24,10.2
163,"good","red","D",10.2,4.00338975864864,0.33,3.93914302423483,0.46,1.9,0.081,"d3",6,"I2",9,0.99628,3.1,2.59,0.48,0.24,10.4
164,"good","white","E",7.3,2.88421564832817,0.14,2.37793190131419,0.49,1.1,0.038,"e1",28,"I1",99,0.9928,3.2,2.27,0.72,0.24,10.6
165,"medium","white","B",7.3,3.43136490430507,0.36,1.52791481625244,0.34,14.8,0.057,"f3",46,"S1",173,0.99751,3.14,1.81,0.57,0.24,10.2
166,"good","white","A",6.5,2.05376039164161,0.2,2.20814900599115,0.35,3.9,0.04,"f1",27,"S2",140,0.99102,2.98,2.43,0.53,0.24,11.8
167,"good","white","E",7.2,3.33082475605677,0.23,2.79106046834865,0.38,14.3,0.058,"c2",55,"I1",194,0.9979,3.09,2.74,0.44,0,9
168,"good","white","A",5,3.01073841890345,0.27,2.3691808782643,0.32,4.5,0.032,"i3",58,"I1",178,0.98956,3.45,1.49,0.31,0.24,12.6
